time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-15T17:44:02.200Z,19.4055,-155.3097,4.3,2.6,Ml,,68.4,0.00898315,0.07,hv,hv60895806,2015-04-15T19:25:25.040Z,"8km WSW of Volcano, Hawaii",earthquake
2015-04-15T15:42:23.800Z,19.0881,-66.8059,47,3.2,Md,16,262.8,0.61624428,0.43,pr,pr15105004,2015-04-15T16:49:13.671Z,"66km N of Hatillo, Puerto Rico",earthquake
2015-04-15T13:16:02.800Z,19.6177,-66.015,13,3.1,Md,7,298.8,1.23338689,0.27,pr,pr15105003,2015-04-15T18:30:51.040Z,"127km N of San Juan, Puerto Rico",earthquake
2015-04-15T12:08:25.300Z,17.9846,-63.7885,57,2.6,Md,7,306,0.76895788,0.25,pr,pr15105002,2015-04-15T15:57:42.738Z,"69km NW of The Bottom, Bonaire, Saint Eustatius and Saba ",earthquake
2015-04-15T11:23:16.000Z,59.3293,-154.1397,9.8,2.9,ml,,,,0.97,ak,ak11553424,2015-04-15T19:25:56.120Z,"64km SE of Old Iliamna, Alaska",earthquake
2015-04-15T11:11:49.140Z,48.1751,153.7496,101.12,4.7,mb,,134,5.54,0.6,us,us200026nc,2015-04-15T19:14:30.026Z,"Kuril Islands",earthquake
2015-04-15T10:22:08.140Z,-3.8483,151.6834,10,5.2,mb,,89,0.587,0.77,us,us200026n9,2015-04-15T18:24:49.283Z,"66km NW of Rabaul, Papua New Guinea",earthquake
2015-04-15T10:14:48.850Z,46.3451667,-122.2475,12.32,2.8,ml,47,38,0.02181,0.17,uw,uw60999111,2015-04-15T17:40:55.123Z,"23km S of Morton, Washington",earthquake
2015-04-15T09:46:44.500Z,41.0068321,-123.7418365,24.99,2.5,md,9,97,0.1321,0.06,nc,nc72428825,2015-04-15T17:49:21.661Z,"11km NW of Willow Creek, California",earthquake
2015-04-15T08:25:12.410Z,34.8637,32.31,10,5.5,mb,,52,0.844,1.31,us,us200026mv,2015-04-15T18:41:14.836Z,"7km WSW of Peyia, Cyprus",earthquake
2015-04-15T07:43:15.120Z,40.2905,-124.4565,19.57,2.59,md,22,255,0.1354,0.12,nc,nc72428785,2015-04-15T17:09:07.781Z,"35km SSW of Ferndale, California",earthquake
2015-04-15T07:39:27.610Z,39.736,106.4254,10,5.3,mb,,52,8.096,1.01,us,us200026mr,2015-04-15T15:20:51.057Z,"34km WNW of Wuhai, China",earthquake
2015-04-15T07:08:37.440Z,35.4686,104.0214,10.32,4.5,mb,,123,12.482,0.46,us,us200026mm,2015-04-15T14:34:47.932Z,"44km N of Yangzhuang, China",earthquake
2015-04-15T07:06:53.100Z,19.7343,-66,40,3.3,Md,12,298.8,1.3456763,0.34,pr,pr15105000,2015-04-15T15:09:33.857Z,"140km N of San Juan, Puerto Rico",earthquake
2015-04-15T06:59:16.760Z,-14.5568,-76.244,10,4.9,mb,,150,2.619,0.82,us,us200026ml,2015-04-15T15:01:44.214Z,"70km SW of Santiago, Peru",earthquake
2015-04-15T04:45:00.320Z,-6.4137,148.4499,51.79,4.9,mb,,63,4.306,1.05,us,us200026m3,2015-04-15T12:47:27.448Z,"67km ENE of Finschhafen, Papua New Guinea",earthquake
